snapshot_ts,outcome,price_bucket,bid_traded_size,ask_traded_size,total_traded_size,net_aggressor_buy
2026-03-26 18:30:05+00:00,DOWN,0.99,160.62,0.0,160.62,-160.62
2026-03-26 18:30:05+00:00,UP,0.01,0.0,215.0,215.0,215.0
2026-03-26 18:30:10+00:00,DOWN,0.99,298.49,0.0,298.49,-298.49
2026-03-26 18:30:10+00:00,UP,0.01,0.0,1500.0,1500.0,1500.0
2026-03-26 18:30:15+00:00,DOWN,0.99,38.160000000000004,0.0,38.160000000000004,-38.160000000000004
2026-03-26 18:30:20+00:00,DOWN,0.99,20.15,0.0,20.15,-20.15
2026-03-26 18:30:25+00:00,DOWN,0.99,80.22,0.0,80.22,-80.22
2026-03-26 18:30:30+00:00,DOWN,0.99,58.18,0.0,58.18,-58.18
2026-03-26 18:30:35+00:00,DOWN,0.99,3.32,0.0,3.32,-3.32
2026-03-26 18:30:40+00:00,DOWN,0.99,190.53,0.0,190.53,-190.53
2026-03-26 18:30:55+00:00,DOWN,0.99,13.1,0.0,13.1,-13.1
2026-03-26 18:31:05+00:00,DOWN,0.99,17.34,0.0,17.34,-17.34
2026-03-26 18:31:10+00:00,DOWN,0.99,512.86,0.0,512.86,-512.86
2026-03-26 18:31:25+00:00,DOWN,0.99,6.13,0.0,6.13,-6.13
2026-03-26 18:31:30+00:00,DOWN,0.99,156.82,0.0,156.82,-156.82
2026-03-26 18:31:35+00:00,DOWN,0.99,7.21,0.0,7.21,-7.21
2026-03-26 18:31:45+00:00,UP,0.01,0.0,100.0,100.0,100.0
2026-03-26 18:31:50+00:00,DOWN,0.99,10.3,0.0,10.3,-10.3
2026-03-26 18:31:55+00:00,UP,0.01,0.0,100.0,100.0,100.0
