ts,trade_id,token_id,outcome,buyer_address,seller_address,side,price,size,notional
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.118904,50.0,5.9452
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.8977671560259475,117.16,105.1824
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,31.57,28.7287
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.09,50.0,4.5
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.92,22.597825,20.789999
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,50.0,45.5
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.09444571428571429,70.0,6.6112
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.0899999189999919,11.11111,0.9999990000000001
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.92,21.739125,19.999995000000002
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,1.0989,0.999999
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,1.11111,0.9999990000000001
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.09,10.85,0.9764999999999999
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.108904,50.0,5.4452
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.89,9.4,8.366
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.128904,50.0,6.4452
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.92,99.239125,91.29999500000001
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,54.3956,49.499996
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.1,50.0,5.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9299998093499438,4.301074,3.9999979999999997
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.1,50.0,5.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.902334,50.0,45.1167
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,10.0,9.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.12,50.0,6.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.89,50.0,44.5
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,1.22222,1.099998
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,1.02,0.9282
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9099999915740585,1.186811,1.079998
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.08170815183571874,32.14,2.6261
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.08,50.0,4.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,50.0,45.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9299999569442471,1.161285,1.0799949999999998
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.14,50.0,7.000000000000001
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,3.2967,2.999997
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.86,5.0,4.3
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.133904,50.0,6.6952
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.11999991234781389,9.583332,1.149999
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.92,20.0,18.400000000000002
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.8938076738819818,38.24088,34.179992
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,sell,0.91,2.9,2.639
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.91,15.0,13.65
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.92,20.2,18.584
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.08,12.5,1.0
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.11,19.97,2.1967
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.09,8.0,0.72
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.9,16.3,14.670000000000002
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,sell,0.1033347128815313,96.65,9.987300000000001
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.92,50.0,46.0
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,sell,0.89,0.03,0.026699999999999998
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.91,5.0,4.55
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.91,108.69,98.9079
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.91,65.6,59.696
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.07,5.0,0.35000000000000003
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.9103899215302012,54.921512,49.999991
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.9,10.0,9.0
1970-01-01 00:00:01.774280391+00:00,,,UNKNOWN,,,buy,0.9299999888399957,5.376342,4.999998000000001
