ts,token_id,outcome,price
1970-01-01 00:00:01.774280391+00:00,,Down,0.11999991234781389
1970-01-01 00:00:01.774280391+00:00,,Up,0.92
1970-01-01 00:00:01.774280391+00:00,,Up,0.8938076738819818
1970-01-01 00:00:01.774280391+00:00,,Up,0.91
1970-01-01 00:00:01.774280391+00:00,,Up,0.91
1970-01-01 00:00:01.774280391+00:00,,Up,0.92
1970-01-01 00:00:01.774280391+00:00,,Down,0.08
1970-01-01 00:00:01.774280391+00:00,,Down,0.11
1970-01-01 00:00:01.774280391+00:00,,Down,0.09
1970-01-01 00:00:01.774280391+00:00,,Up,0.9
1970-01-01 00:00:01.774280391+00:00,,Down,0.1033347128815313
1970-01-01 00:00:01.774280391+00:00,,Up,0.92
1970-01-01 00:00:01.774280391+00:00,,Up,0.89
1970-01-01 00:00:01.774280391+00:00,,Up,0.91
1970-01-01 00:00:01.774280391+00:00,,Up,0.91
1970-01-01 00:00:01.774280391+00:00,,Up,0.91
1970-01-01 00:00:01.774280391+00:00,,Down,0.07
1970-01-01 00:00:01.774280391+00:00,,Up,0.9103899215302012
1970-01-01 00:00:01.774280391+00:00,,Up,0.9
1970-01-01 00:00:01.774280391+00:00,,Up,0.9299999888399957
1970-01-01 00:00:01.774280391+00:00,,Up,0.93
1970-01-01 00:00:01.774280391+00:00,,Up,0.91
1970-01-01 00:00:01.774280391+00:00,,Down,0.07
1970-01-01 00:00:01.774280391+00:00,,Down,0.13534271612598525
1970-01-01 00:00:01.774280391+00:00,,Up,0.88
1970-01-01 00:00:01.774280391+00:00,,Down,0.121
1970-01-01 00:00:01.774280391+00:00,,Down,0.15
1970-01-01 00:00:01.774280391+00:00,,Up,0.9399999981199973
1970-01-01 00:00:01.774280391+00:00,,Up,0.9399999996239999
1970-01-01 00:00:01.774280391+00:00,,Up,0.9299999994655173
1970-01-01 00:00:01.774280391+00:00,,Up,0.9354761904761905
1970-01-01 00:00:01.774280391+00:00,,Up,0.9299999888399957
1970-01-01 00:00:01.774280391+00:00,,Up,0.96
1970-01-01 00:00:01.774280391+00:00,,Up,0.9299999888399957
1970-01-01 00:00:01.774280391+00:00,,Up,0.94
1970-01-01 00:00:01.774280391+00:00,,Up,0.92
1970-01-01 00:00:01.774280391+00:00,,Up,0.8899999978708133
1970-01-01 00:00:01.774280391+00:00,,Up,0.93999996518518
1970-01-01 00:00:01.774280391+00:00,,Up,0.91
1970-01-01 00:00:01.774280391+00:00,,Up,0.919999996319999
1970-01-01 00:00:01.774280391+00:00,,Up,0.9115727875829265
1970-01-01 00:00:01.774280391+00:00,,Up,0.9053027797133814
1970-01-01 00:00:01.774280391+00:00,,Down,0.06999997137777676
1970-01-01 00:00:01.774280391+00:00,,Up,0.91
1970-01-01 00:00:01.774280391+00:00,,Up,0.97
1970-01-01 00:00:01.774280391+00:00,,Up,0.89
1970-01-01 00:00:01.774280391+00:00,,Up,0.93
1970-01-01 00:00:01.774280391+00:00,,Down,0.08
1970-01-01 00:00:01.774280391+00:00,,Up,0.91
1970-01-01 00:00:01.774280391+00:00,,Down,0.08
1970-01-01 00:00:01.774280391+00:00,,Down,0.12999997094971905
1970-01-01 00:00:01.774280391+00:00,,Down,0.11
1970-01-01 00:00:01.774280391+00:00,,Down,0.075566
1970-01-01 00:00:01.774280391+00:00,,Down,0.07
1970-01-01 00:00:01.774280391+00:00,,Down,0.08
1970-01-01 00:00:01.774280391+00:00,,Down,0.1
1970-01-01 00:00:01.774280391+00:00,,Up,0.94
1970-01-01 00:00:01.774280391+00:00,,Down,0.09553923514622205
1970-01-01 00:00:01.774280391+00:00,,Down,0.08
1970-01-01 00:00:01.774280391+00:00,,Down,0.06999999321585894
1970-01-01 00:00:01.774280391+00:00,,Up,0.94
1970-01-01 00:00:01.774280391+00:00,,Down,0.07
1970-01-01 00:00:01.774280391+00:00,,Up,0.9399999623995127
1970-01-01 00:00:01.774280391+00:00,,Down,0.088084
1970-01-01 00:00:01.774280391+00:00,,Down,0.12182382986906463
1970-01-01 00:00:01.774280391+00:00,,Down,0.08
1970-01-01 00:00:01.774280391+00:00,,Down,0.07
1970-01-01 00:00:01.774280391+00:00,,Down,0.08
1970-01-01 00:00:01.774280391+00:00,,Up,0.96
1970-01-01 00:00:01.774280391+00:00,,Down,0.08
1970-01-01 00:00:01.774280391+00:00,,Up,0.96
1970-01-01 00:00:01.774280391+00:00,,Up,0.97
1970-01-01 00:00:01.774280391+00:00,,Up,0.9690309687405502
1970-01-01 00:00:01.774280391+00:00,,Up,0.9699999992239992
1970-01-01 00:00:01.774280391+00:00,,Up,0.9494553472265574
1970-01-01 00:00:01.774280391+00:00,,Up,0.95
1970-01-01 00:00:01.774280391+00:00,,Up,0.9602451265529435
1970-01-01 00:00:01.774280391+00:00,,Down,0.03
1970-01-01 00:00:01.774280391+00:00,,Down,0.06627615062761506
1970-01-01 00:00:01.774280391+00:00,,Up,0.962
1970-01-01 00:00:01.774280391+00:00,,Up,0.97
1970-01-01 00:00:01.774280391+00:00,,Up,0.9699999967339825
1970-01-01 00:00:01.774280391+00:00,,Up,0.97
1970-01-01 00:00:01.774280391+00:00,,Up,0.95
1970-01-01 00:00:01.774280391+00:00,,Up,0.96
1970-01-01 00:00:01.774280391+00:00,,Up,0.97
1970-01-01 00:00:01.774280391+00:00,,Up,0.94
1970-01-01 00:00:01.774280391+00:00,,Up,0.97
1970-01-01 00:00:01.774280391+00:00,,Up,0.96
1970-01-01 00:00:01.774280391+00:00,,Up,0.97
1970-01-01 00:00:01.774280393+00:00,,Up,0.97
1970-01-01 00:00:01.774280393+00:00,,Down,0.04
1970-01-01 00:00:01.774280393+00:00,,Up,0.9699999330699912
1970-01-01 00:00:01.774280393+00:00,,Up,0.9699999873406777
1970-01-01 00:00:01.774280393+00:00,,Up,0.97
1970-01-01 00:00:01.774280393+00:00,,Up,0.96
1970-01-01 00:00:01.774280393+00:00,,Down,0.04
1970-01-01 00:00:01.774280393+00:00,,Up,0.96
1970-01-01 00:00:01.774280393+00:00,,Up,0.9699999967339825
1970-01-01 00:00:01.774280393+00:00,,Up,0.97
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
1970-01-01 00:00:01.774280393+00:00,,Down,0.029999990655737552
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
1970-01-01 00:00:01.774280393+00:00,,Down,0.029999973364484737
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
1970-01-01 00:00:01.774280393+00:00,,Down,0.029999995603053407
1970-01-01 00:00:01.774280393+00:00,,Up,0.96
1970-01-01 00:00:01.774280393+00:00,,Up,0.9699999980599977
1970-01-01 00:00:01.774280393+00:00,,Down,0.03
1970-01-01 00:00:01.774280393+00:00,,Up,0.9699999996119998
1970-01-01 00:00:01.774280393+00:00,,Up,0.92
1970-01-01 00:00:01.774280393+00:00,,Up,0.97
1970-01-01 00:00:01.774280393+00:00,,Up,0.98
