bucket,outcome,volume_tokens,volume_notional_usdc
2026-03-26 17:27:00+00:00,YES,50.0,5.0
2026-03-26 17:27:05+00:00,YES,0.92,0.0828
2026-03-26 17:27:10+00:00,NO,5.0,4.5
2026-03-26 17:27:15+00:00,YES,3.65,0.3285
2026-03-26 17:27:15+00:00,NO,5.494504,4.999998
2026-03-26 17:27:25+00:00,YES,0.01,0.0009
2026-03-26 17:27:55+00:00,YES,0.69,0.062099999999999995
2026-03-26 17:29:00+00:00,NO,50.0,45.5
2026-03-26 17:30:55+00:00,YES,531.08,52.797200000000004
2026-03-26 17:31:00+00:00,YES,4153.66,413.82939999999996
2026-03-26 17:31:05+00:00,YES,115.67,10.4103
2026-03-26 17:31:10+00:00,YES,1.01,0.0909
2026-03-26 17:31:15+00:00,NO,0.01,0.009000000000000001
2026-03-26 17:31:35+00:00,YES,532.88,47.959199999999996
2026-03-26 17:31:40+00:00,NO,5.494504,4.999998
2026-03-26 17:31:45+00:00,NO,11.054944,10.059999
2026-03-26 17:31:55+00:00,NO,1.0989,0.999999
2026-03-26 17:32:25+00:00,YES,40.57,3.6513
2026-03-26 17:33:15+00:00,NO,1536.373625,1398.099998
2026-03-26 17:33:45+00:00,NO,21.42,19.278000000000002
2026-03-26 17:33:45+00:00,YES,0.8200000000000001,0.0738
2026-03-26 17:33:55+00:00,YES,3.15,0.2835
2026-03-26 17:34:10+00:00,YES,100.7,10.063
2026-03-26 17:34:15+00:00,YES,163.18,14.6862
2026-03-26 17:34:25+00:00,YES,0.2,0.018
2026-03-26 17:34:35+00:00,YES,14.46,1.3014000000000001
2026-03-26 17:35:30+00:00,NO,1.1,0.9900000000000001
2026-03-26 17:35:35+00:00,YES,0.02,0.0018
2026-03-26 17:35:45+00:00,YES,0.15,0.0135
2026-03-26 17:35:55+00:00,YES,120.0,10.799999999999999
2026-03-26 17:36:35+00:00,NO,1.0989,0.999999
2026-03-26 17:38:00+00:00,NO,3060.824174,2785.3499979999997
2026-03-26 17:40:45+00:00,NO,1148.8,1033.92
2026-03-26 17:40:45+00:00,YES,43.86,3.9474
2026-03-26 17:40:50+00:00,YES,31.33,2.8197
2026-03-26 17:41:00+00:00,YES,2.4,0.216
2026-03-26 17:41:15+00:00,YES,157.03,14.1327
2026-03-26 17:41:40+00:00,NO,3.890108,3.539998
2026-03-26 17:42:20+00:00,YES,4.25,0.3825
2026-03-26 17:44:25+00:00,NO,9.890108,8.999998
2026-03-26 17:44:45+00:00,YES,36.35,3.6215
2026-03-26 17:44:55+00:00,YES,0.07,0.0063
2026-03-26 17:45:10+00:00,NO,251.362636,228.739998
2026-03-26 17:45:15+00:00,YES,5.11,0.45990000000000003
2026-03-26 17:46:10+00:00,NO,5.494504,4.999998
2026-03-26 17:46:15+00:00,YES,565.05,55.9215
2026-03-26 17:46:20+00:00,YES,13.82,1.2437999999999998
2026-03-26 17:46:30+00:00,YES,1.06,0.0954
2026-03-26 17:46:55+00:00,YES,71.88,6.469199999999999
2026-03-26 17:47:30+00:00,NO,1.1,0.9900000000000001
2026-03-26 17:47:35+00:00,YES,0.02,0.0018
2026-03-26 17:47:55+00:00,NO,36.19,32.571
2026-03-26 17:47:55+00:00,YES,1.56,0.1404
2026-03-26 17:48:05+00:00,YES,0.07,0.0063
2026-03-26 17:48:15+00:00,YES,5.28,0.4752
2026-03-26 17:48:25+00:00,NO,1.0989,0.999999
2026-03-26 17:51:55+00:00,NO,219.780218,199.99999799999998
2026-03-26 17:53:25+00:00,NO,5.92,5.3872
2026-03-26 17:53:45+00:00,NO,4.395603,3.9999980000000006
2026-03-26 17:54:05+00:00,YES,259.47,25.8523
2026-03-26 17:54:10+00:00,YES,6.12,0.5508
2026-03-26 17:54:25+00:00,YES,0.52,0.0468
2026-03-26 17:54:35+00:00,NO,5.92,5.328
2026-03-26 17:54:35+00:00,YES,0.08,0.0072
2026-03-26 17:54:40+00:00,YES,0.13,0.0117
2026-03-26 17:54:50+00:00,YES,308.97,30.8073
2026-03-26 17:54:55+00:00,YES,9.77,0.8793
2026-03-26 17:55:00+00:00,NO,1100.0,1001.0
2026-03-26 17:55:05+00:00,YES,0.62,0.055799999999999995
2026-03-26 17:55:15+00:00,YES,80.53,7.2477
2026-03-26 17:55:25+00:00,YES,0.19,0.017099999999999997
2026-03-26 17:55:25+00:00,NO,5.26,4.734
2026-03-26 17:55:40+00:00,YES,0.76,0.0684
2026-03-26 17:56:15+00:00,YES,52.63,4.7367
2026-03-26 17:57:15+00:00,YES,592.94,53.364599999999996
2026-03-26 17:57:25+00:00,YES,270.39,24.335099999999997
2026-03-26 17:58:20+00:00,YES,30737.229089,3378.639999
2026-03-26 17:59:15+00:00,YES,313.0,31.3
2026-03-26 17:59:35+00:00,YES,562.5,50.625
2026-03-26 17:59:50+00:00,NO,4.395603,3.9999980000000006
2026-03-26 18:00:45+00:00,YES,313.0,28.169999999999998
2026-03-26 18:00:45+00:00,NO,1.1,0.9900000000000001
2026-03-26 18:01:20+00:00,YES,313.0,31.3
2026-03-26 18:02:30+00:00,NO,32.967031,29.999997999999998
2026-03-26 18:02:45+00:00,NO,10.989009,9.999998
2026-03-26 18:02:50+00:00,YES,313.0,28.169999999999998
2026-03-26 18:03:15+00:00,NO,5.494504,4.999998
2026-03-26 18:03:25+00:00,YES,313.0,31.3
2026-03-26 18:03:55+00:00,NO,104.7,95.277
2026-03-26 18:04:40+00:00,NO,1.13,1.017
2026-03-26 18:04:55+00:00,YES,313.0,28.169999999999998
2026-03-26 18:05:05+00:00,YES,1013.54,91.2186
2026-03-26 18:05:25+00:00,YES,313.0,31.3
2026-03-26 18:05:50+00:00,YES,313.0,28.169999999999998
2026-03-26 18:06:55+00:00,YES,38.46,3.846
2026-03-26 18:07:30+00:00,YES,313.0,31.3
2026-03-26 18:07:45+00:00,YES,9004.76,900.4284
2026-03-26 18:07:50+00:00,YES,14.37,1.2933
2026-03-26 18:08:20+00:00,YES,313.0,28.169999999999998
2026-03-26 18:08:30+00:00,YES,50.0,5.0
2026-03-26 18:09:45+00:00,YES,5030.0,503.0
2026-03-26 18:09:55+00:00,YES,1561.87,140.5683
2026-03-26 18:10:20+00:00,NO,55.27,49.743
2026-03-26 18:10:45+00:00,YES,216.66,19.499399999999998
2026-03-26 18:10:55+00:00,YES,30.0,2.6999999999999997
2026-03-26 18:11:00+00:00,YES,20000.0,1800.0
2026-03-26 18:11:55+00:00,NO,109.890108,99.999998
2026-03-26 18:13:10+00:00,NO,21.97802,19.999998
2026-03-26 18:14:20+00:00,YES,1005.0,100.5
2026-03-26 18:14:35+00:00,NO,1.16,1.044
2026-03-26 18:14:45+00:00,NO,109.890108,99.999998
2026-03-26 18:14:55+00:00,NO,82.0,74.62
2026-03-26 18:16:25+00:00,NO,190.497691,173.33099800000002
2026-03-26 18:16:50+00:00,YES,1200.0,108.0
2026-03-26 18:19:35+00:00,YES,714.28,64.28519999999999
2026-03-26 18:22:40+00:00,YES,25.0,2.25
2026-03-26 18:23:25+00:00,NO,11.186812,10.179998
2026-03-26 18:24:55+00:00,NO,2.01,1.809
2026-03-26 18:26:40+00:00,NO,121.0,108.89999999999999
2026-03-26 18:27:55+00:00,YES,517.64,46.587599999999995
2026-03-26 18:28:15+00:00,YES,42.86,3.8573999999999997
2026-03-26 18:28:25+00:00,NO,253.04,227.736
2026-03-26 18:28:50+00:00,YES,50.0,5.0
2026-03-26 18:29:20+00:00,YES,250.0,25.0
2026-03-26 18:30:15+00:00,NO,171.23,154.107
2026-03-26 18:30:25+00:00,NO,8.25,7.507499999999999
2026-03-26 18:30:55+00:00,YES,40.0,3.5999999999999996
2026-03-26 18:31:20+00:00,YES,50.0,4.5
2026-03-26 18:31:25+00:00,YES,1050.0,84.0
2026-03-26 18:31:45+00:00,NO,100.0,91.0
2026-03-26 18:32:10+00:00,YES,1500.0,135.0
2026-03-26 18:32:55+00:00,NO,12.38,11.2658
2026-03-26 18:33:20+00:00,NO,10.108694,9.299998
2026-03-26 18:33:35+00:00,YES,30.95,2.476
2026-03-26 18:33:50+00:00,YES,7.89,0.5523
2026-03-26 18:34:05+00:00,YES,2125.0,170.0
2026-03-26 18:34:10+00:00,YES,2778.9100000000003,194.52370000000002
2026-03-26 18:34:15+00:00,YES,492.7,37.739
2026-03-26 18:34:20+00:00,NO,5.07,4.6644000000000005
2026-03-26 18:34:20+00:00,YES,261.0,18.270000000000003
2026-03-26 18:34:25+00:00,YES,242.51,18.0257
2026-03-26 18:34:30+00:00,YES,2980.0,255.5709
2026-03-26 18:34:35+00:00,YES,1053.29,84.25540000000001
2026-03-26 18:34:40+00:00,YES,0.08,0.0064
2026-03-26 18:35:10+00:00,YES,0.05,0.004
2026-03-26 18:35:20+00:00,YES,2125.0,170.0
2026-03-26 18:35:25+00:00,YES,24.5,1.96
2026-03-26 18:35:35+00:00,NO,16.152162,14.859989
2026-03-26 18:36:40+00:00,NO,5.55,5.0505
2026-03-26 18:38:20+00:00,NO,10.1,9.191
2026-03-26 18:38:40+00:00,NO,10.108687,9.299992
2026-03-26 18:38:45+00:00,YES,444.444443,39.999998999999995
2026-03-26 18:39:05+00:00,NO,189.93,172.8363
2026-03-26 18:39:55+00:00,YES,50.0,4.5
2026-03-26 18:40:00+00:00,NO,200.0,182.0
2026-03-26 18:40:25+00:00,NO,10.11,9.200099999999999
2026-03-26 18:40:35+00:00,NO,17.22,15.6702
2026-03-26 18:40:35+00:00,YES,90.0,7.2
2026-03-26 18:40:45+00:00,YES,187.5,15.0
2026-03-26 18:40:50+00:00,YES,25.5,2.04
2026-03-26 18:41:05+00:00,YES,2000.0,160.0
2026-03-26 18:41:30+00:00,YES,1461.0,116.88
2026-03-26 18:41:35+00:00,YES,8527.85,682.2280000000001
2026-03-26 18:41:40+00:00,YES,160.73,12.8584
2026-03-26 18:42:15+00:00,YES,0.27,0.0216
2026-03-26 18:43:30+00:00,NO,8189.57,7452.5087
