ts,trade_id,token_id,outcome,buyer_address,seller_address,actor_address,side,price,size,notional
2026-03-26 16:10:57+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,buy,0.9,1.11111,0.9999990000000001
2026-03-26 16:10:57+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xb97ade82679dd4c40a6131244a6074a558e4ee37,,0xb97ade82679dd4c40a6131244a6074a558e4ee37,buy,0.899999759999904,3.333332,2.999998
2026-03-26 16:10:59+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x61a0ed614dbca50907c614d1a292f3e90a2f0ae9,,0x61a0ed614dbca50907c614d1a292f3e90a2f0ae9,buy,0.8999995102036819,1.633332,1.4699980000000001
2026-03-26 16:10:59+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xe5ec24f47414c848fe9ecb3cbc65c114e7575c81,,0xe5ec24f47414c848fe9ecb3cbc65c114e7575c81,buy,0.8999996999997,1.666665,1.499998
2026-03-26 16:11:01+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x17441c2b88404c6e811d1bb8e942c172026ce6fe,,0x17441c2b88404c6e811d1bb8e942c172026ce6fe,buy,0.9,1.11111,0.9999990000000001
2026-03-26 16:11:03+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x77446aafb04a685d9e7d33a773712a56fe7023f2,,0x77446aafb04a685d9e7d33a773712a56fe7023f2,buy,0.899999855421652,5.533332,4.979998
2026-03-26 16:14:39+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xcdbea54f59f098b6d072264c70f2c3b35ff4d712,,0xcdbea54f59f098b6d072264c70f2c3b35ff4d712,buy,0.9,1.11111,0.9999990000000001
2026-03-26 16:14:59+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0xb859e4e8dc3147cc7af6aa08f85b9307742eb039,0xb859e4e8dc3147cc7af6aa08f85b9307742eb039,sell,0.1,500.0,50.0
2026-03-26 16:15:39+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x5aedd8fb09c5f71c54281546815d4700d9f6e7bb,,0x5aedd8fb09c5f71c54281546815d4700d9f6e7bb,buy,0.89999999892,555.555554,499.99999800000006
2026-03-26 16:15:49+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xa66d0269e85bf585c9c4aa68b90ecb1bca150859,,0xa66d0269e85bf585c9c4aa68b90ecb1bca150859,buy,0.9,16.48,14.832
2026-03-26 16:15:49+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xce50d0b41fa9a61cb71bcc967cced83f074f1e2d,,0xce50d0b41fa9a61cb71bcc967cced83f074f1e2d,buy,0.8999998919999698,5.555554,4.999998
2026-03-26 16:15:49+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x41b19c5a79079181cf68cbb2ad88afb462eb4342,,0x41b19c5a79079181cf68cbb2ad88afb462eb4342,buy,0.9,5.2,4.680000000000001
2026-03-26 16:15:49+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x8b8807ad974e6785fc661f8175bbdc40fc0cde16,,0x8b8807ad974e6785fc661f8175bbdc40fc0cde16,buy,0.9,3.5,3.15
2026-03-26 16:15:49+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,0xa42dcbd880f9b32ad8ea06ef78d3323295f12e9a,,0xa42dcbd880f9b32ad8ea06ef78d3323295f12e9a,buy,0.1099999999131,9090.909089,999.9999990000001
2026-03-26 16:15:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x5d81a9f3d4eccec8f5d1724868cb9e984e1d360e,,0x5d81a9f3d4eccec8f5d1724868cb9e984e1d360e,buy,0.8999999568345293,18.533332,16.679998
2026-03-26 16:15:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xe9ce222d479d488f8901a342ecb778eb9cbd711f,,0xe9ce222d479d488f8901a342ecb778eb9cbd711f,buy,0.8999999905890552,63.755554,57.379998
2026-03-26 16:15:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x1c42f6e9fc998637835f631607255674b31d213b,,0x1c42f6e9fc998637835f631607255674b31d213b,buy,0.8999999918991897,49.377776,44.439998
2026-03-26 16:15:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x428208cf4ff7b0aaede6dfd86969cfc823f93455,,0x428208cf4ff7b0aaede6dfd86969cfc823f93455,buy,0.8999998919999698,5.555554,4.999998
2026-03-26 16:15:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x3a01d83be1724c8a414573521ad06420ad5244f1,,0x3a01d83be1724c8a414573521ad06420ad5244f1,buy,0.899999759999904,3.333332,2.999998
2026-03-26 16:15:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xef9edf2b96c688a69c83c0c84bdb129a6335150c,,0xef9edf2b96c688a69c83c0c84bdb129a6335150c,buy,0.8999995949997772,2.222221,1.9999979999999997
2026-03-26 16:15:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x42acf90008f234be67dd291094f15f41e614bfdd,,0x42acf90008f234be67dd291094f15f41e614bfdd,buy,0.8999996417908309,2.233332,2.009998
2026-03-26 16:15:53+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x6c8c265bcf1eb8a83b255defd1bcfbbfe62247c0,,0x6c8c265bcf1eb8a83b255defd1bcfbbfe62247c0,buy,0.9,6.67,6.003
